write_yeardate_time,userid,nickname,date,time,trade_name,party_name,remark
2024-03-09T17:25,Uf8e734e58b67c12e0de1cd574a1718da,明明,,,歸01,歸01,明明，確認角色IDs
2024-03-09T17:25,Uf8e734e58b67c12e0de1cd574a1718da,明明,2024-03-09,22:00,,,明明，確認預約時間
2024-03-09T17:25,Uf8e734e58b67c12e0de1cd574a1718da,明明,,,歸01,歸01,明明，確認角色IDs
2024-03-09T17:26,Uf8e734e58b67c12e0de1cd574a1718da,明明,2024-03-09,22:00,,,明明，確認預約時間
2024-03-09T18:04,Uf8e734e58b67c12e0de1cd574a1718da,明明,,,歸01,歸01,明明，確認角色IDs
2024-03-09T18:04,Uf8e734e58b67c12e0de1cd574a1718da,明明,2024-03-09,22:00,,,明明，確認預約時間
2024-03-09T18:13,Uf8e734e58b67c12e0de1cd574a1718da,明明,,,歸01,歸01,明明，確認角色IDs
2024-03-09T18:13,Uf8e734e58b67c12e0de1cd574a1718da,明明,2024-03-09,20:20,,,明明，確認預約時間
2024-03-11T00:00,Uf8e734e58b67c12e0de1cd574a1718da,明明,,,寶寶,寶寶,明明，確認角色IDs
2024-03-11T00:00,Uf8e734e58b67c12e0de1cd574a1718da,明明,2024-03-11,20:05,,,明明，確認預約時間
2024-03-11T00:00,Uf8e734e58b67c12e0de1cd574a1718da,明明,,,明明,明明,明明，確認角色IDs
2024-03-11T00:01,Uf8e734e58b67c12e0de1cd574a1718da,明明,2024-03-11,20:10,,,明明，確認預約時間
2024-03-11T00:02,Uf8e734e58b67c12e0de1cd574a1718da,明明,,,尷尬,太太,明明，確認角色IDs
2024-03-11T00:02,Uf8e734e58b67c12e0de1cd574a1718da,明明,2024-03-11,22:00,,,明明，確認預約時間
------------------------------------------------2024-03-15T21:15,Uf8e734e58b67c12e0de1cd574a1718da,明明,,,買買,買買,明明，確認角色IDs
2024-03-15T21:15,Uf8e734e58b67c12e0de1cd574a1718da,明明,2024-03-15,22:00,,,明明，確認預約時間
2024-03-15T22:01,Uf8e734e58b67c12e0de1cd574a1718da,明明,,,平平,平平,明明，確認角色IDs
2024-03-15T22:05,Uf8e734e58b67c12e0de1cd574a1718da,明明,,,安安,安安,明明，確認角色IDs
2024-03-15T22:08,Uf8e734e58b67c12e0de1cd574a1718da,明明,,,平平,平平,明明，確認角色IDs
2024-03-15T22:09,Uf8e734e58b67c12e0de1cd574a1718da,明明,,,平平,掰掰,明明，確認角色IDs
2024-03-15T22:11,Uf8e734e58b67c12e0de1cd574a1718da,明明,,,安安,明明,明明，確認角色IDs
2024-03-15T22:12,Uf8e734e58b67c12e0de1cd574a1718da,明明,,,明明,批評,明明，確認角色IDs
2024-03-15T22:13,Uf8e734e58b67c12e0de1cd574a1718da,明明,,,安安,安安,明明，確認角色IDs
2024-03-15T22:13,Uf8e734e58b67c12e0de1cd574a1718da,明明,2024-03-15,21:10,,,明明，確認預約時間
2024-03-26T14:10,Uf8e734e58b67c12e0de1cd574a1718da,明明,,,掰掰,掰掰,明明，確認角色IDs
2024-03-26T14:10,Uf8e734e58b67c12e0de1cd574a1718da,明明,2024-03-26,22:00,,,明明，確認預約時間
2024-03-26T16:58,Uf8e734e58b67c12e0de1cd574a1718da,明明,,,你好,不好,明明，確認角色IDs
2024-03-26T16:59,Uf8e734e58b67c12e0de1cd574a1718da,明明,2024-03-26,20:05,,,明明，確認預約時間
2024-04-23T00:20,Uf8e734e58b67c12e0de1cd574a1718da,明明,,,寶寶,寶寶,明明，確認角色IDs
2024-04-23T00:21,Uf8e734e58b67c12e0de1cd574a1718da,明明,2024-04-23,22:00,,,明明，確認預約時間
2024-04-23T00:22,Uf8e734e58b67c12e0de1cd574a1718da,明明,,,安安,安安,明明，確認角色IDs
2024-04-23T00:22,Uf8e734e58b67c12e0de1cd574a1718da,明明,2024-04-23,21:50,,,明明，確認預約時間
2024-04-23T00:22,Uf8e734e58b67c12e0de1cd574a1718da,明明,,,安安。,那你呢,明明，確認角色IDs
2024-04-23T00:23,Uf8e734e58b67c12e0de1cd574a1718da,明明,2024-04-23,20:55,,,明明，確認預約時間
2024-04-23T00:54,Uf8e734e58b67c12e0de1cd574a1718da,明明,,,安安。,那你呢,明明，確認角色IDs
2024-04-23T00:54,Uf8e734e58b67c12e0de1cd574a1718da,明明,2024-04-23,20:25,,,明明，確認預約時間
2024-04-23T00:57,Uf8e734e58b67c12e0de1cd574a1718da,明明,,,我喔,欸欸,明明，確認角色IDs
2024-04-23T00:58,Uf8e734e58b67c12e0de1cd574a1718da,明明,2024-04-23,20:30,,,明明，確認預約時間
2024-08-22T21:07,U66da2ba27e83014da52f28455ef19c7c,明明,,,安安,安安,明明，確認角色IDs
2024-08-22T21:07,U66da2ba27e83014da52f28455ef19c7c,明明,2024-08-22,22:00,,,明明，確認預約時間
2024-08-22T21:08,U66da2ba27e83014da52f28455ef19c7c,明明,,,那天,粗,明明，確認角色IDs
2024-08-22T21:08,U66da2ba27e83014da52f28455ef19c7c,明明,2024-08-22,22:00,,,明明，確認預約時間
2024-08-22T22:52,U66da2ba27e83014da52f28455ef19c7c,明明,,,安安安安,搜索,明明，確認角色IDs
2024-08-22T22:53,U66da2ba27e83014da52f28455ef19c7c,明明,,,安安,玩玩,明明，確認角色IDs
2024-08-22T22:56,U66da2ba27e83014da52f28455ef19c7c,明明,,,安安,安安,明明，確認角色IDs
2024-08-22T22:57,U66da2ba27e83014da52f28455ef19c7c,明明,,,喔喔,喔喔,明明，確認角色IDs
2024-08-22T23:01,U66da2ba27e83014da52f28455ef19c7c,明明,,,唷,次,明明，確認角色IDs
2024-08-22T23:03,U66da2ba27e83014da52f28455ef19c7c,明明,,,安安,安安,明明，確認角色IDs
2024-08-22T23:05,U66da2ba27e83014da52f28455ef19c7c,明明,,,安安,安安,明明，確認角色IDs
2024-08-22T23:05,U66da2ba27e83014da52f28455ef19c7c,明明,2024-08-22,23:35,,,明明，確認預約時間
2024-08-22T23:11,U66da2ba27e83014da52f28455ef19c7c,明明,,,安安,安安,明明，確認角色IDs
2024-08-22T23:12,U66da2ba27e83014da52f28455ef19c7c,明明,2024-08-22,23:45,,,明明，確認預約時間
2024-08-22T23:36,U66da2ba27e83014da52f28455ef19c7c,明明,,,姑姑,喔喔,明明，確認角色IDs
2024-08-22T23:36,U66da2ba27e83014da52f28455ef19c7c,明明,2024-08-23,23:20,,,明明，確認預約時間
2024-08-23T00:03,U66da2ba27e83014da52f28455ef19c7c,明明,,,安安,安安,明明，確認角色IDs
2024-08-23T00:03,U66da2ba27e83014da52f28455ef19c7c,明明,,,安安,安安,明明，確認角色IDs
2024-08-23T00:04,U66da2ba27e83014da52f28455ef19c7c,明明,2024-08-23,22:00,,,明明，確認預約時間
2024-08-23T00:18,U66da2ba27e83014da52f28455ef19c7c,明明,,,安安,安安,明明，確認角色IDs
2024-08-23T00:26,U66da2ba27e83014da52f28455ef19c7c,明明,,,安安,安安,明明，確認角色IDs
2024-08-23T00:32,U66da2ba27e83014da52f28455ef19c7c,明明,,,安安,安安,明明，確認角色IDs
2024-08-23T00:58,U66da2ba27e83014da52f28455ef19c7c,明明,,,安安,安安,明明，確認角色IDs
2024-08-23T00:59,U66da2ba27e83014da52f28455ef19c7c,明明,,,安安,安安,明明，確認角色IDs
2024-08-23T01:17,U66da2ba27e83014da52f28455ef19c7c,明明,,,安安,安安,明明，確認角色IDs
2024-08-23T01:17,U66da2ba27e83014da52f28455ef19c7c,明明,2024-08-23,22:00,,,明明，確認預約時間
2024-08-23T01:17,U66da2ba27e83014da52f28455ef19c7c,明明,,,安安,安安,明明，確認角色IDs
2024-08-23T01:18,U66da2ba27e83014da52f28455ef19c7c,明明,2024-08-23,21:00,,,明明，確認預約時間
2024-08-23T02:18,U66da2ba27e83014da52f28455ef19c7c,那天,,,安安,安安,那天，確認角色IDs
2024-08-23T02:21,U66da2ba27e83014da52f28455ef19c7c,那天,,,百,掰掰,那天，確認角色IDs
2024-08-23T02:21,U66da2ba27e83014da52f28455ef19c7c,那天,2024-08-23,20:50,,,那天，確認預約時間
2024-08-23T02:24,U66da2ba27e83014da52f28455ef19c7c,那天,,,安安,安安安安,那天，確認角色IDs
2024-08-23T02:24,U66da2ba27e83014da52f28455ef19c7c,那天,2024-08-23,20:55,,,那天，確認預約時間
2024-08-23T02:33,U66da2ba27e83014da52f28455ef19c7c,那天,,,安安,安安安安,那天，確認角色IDs
2024-08-23T02:33,U66da2ba27e83014da52f28455ef19c7c,那天,2024-08-23,20:05,,,那天，確認預約時間
2024-08-23T02:59,U66da2ba27e83014da52f28455ef19c7c,那天,,,安安,安安安安,那天，確認角色IDs
2024-08-23T03:00,U66da2ba27e83014da52f28455ef19c7c,那天,2024-08-23,20:30,,,那天，確認預約時間
2024-08-23T03:04,U66da2ba27e83014da52f28455ef19c7c,那天,,,安安,安安安安,那天，確認角色IDs
2024-08-23T03:04,U66da2ba27e83014da52f28455ef19c7c,那天,2024-08-23,21:35,,,那天，確認預約時間
2024-08-23T03:30,U66da2ba27e83014da52f28455ef19c7c,那天,,,安安,安安安安,那天，確認角色IDs
2024-08-23T03:32,U66da2ba27e83014da52f28455ef19c7c,那天,,,安安,安安安安,那天，確認角色IDs
2024-08-23T03:34,U66da2ba27e83014da52f28455ef19c7c,那天,,,安安,安安安安,那天，確認角色IDs
2024-08-23T03:34,U66da2ba27e83014da52f28455ef19c7c,那天,2024-08-23,21:15,,,那天，確認預約時間
2024-08-23T03:59,U66da2ba27e83014da52f28455ef19c7c,那天,,,安安,安安安安,那天，確認角色IDs
2024-08-23T04:00,U66da2ba27e83014da52f28455ef19c7c,那天,,,安安,安安安安,那天，確認角色IDs
2024-08-23T04:00,U66da2ba27e83014da52f28455ef19c7c,那天,2024-08-23,21:30,,,那天，確認預約時間
2024-08-23T04:19,U66da2ba27e83014da52f28455ef19c7c,那天,,,安安,安安安安,那天，確認角色IDs
2024-08-23T04:19,U66da2ba27e83014da52f28455ef19c7c,那天,2024-08-23,21:50,,,那天，確認預約時間
2024-08-23T04:20,U66da2ba27e83014da52f28455ef19c7c,那天,,,安安,安安安安,那天，確認角色IDs
2024-08-23T04:21,U66da2ba27e83014da52f28455ef19c7c,那天,2024-08-23,20:55,,,那天，確認預約時間
2024-08-23T04:21,U66da2ba27e83014da52f28455ef19c7c,那天,2024-08-23,21:50,,,那天，確認預約時間
2024-08-23T04:22,U66da2ba27e83014da52f28455ef19c7c,那天,2024-08-23,21:50,,,那天，確認預約時間
2024-08-23T04:25,U66da2ba27e83014da52f28455ef19c7c,那天,2024-08-23,21:50,,,那天，確認預約時間
2024-08-23T05:20,U66da2ba27e83014da52f28455ef19c7c,那天,,,安安,安安安安,那天，確認角色IDs
2024-08-23T05:23,U66da2ba27e83014da52f28455ef19c7c,那天,,,安安,安安安安,那天，確認角色IDs
2024-08-23T05:23,U66da2ba27e83014da52f28455ef19c7c,那天,2024-08-23,22:00,,,那天，確認預約時間
2024-08-23T05:23,U66da2ba27e83014da52f28455ef19c7c,那天,2024-08-23,22:00,,,那天，確認預約時間
2024-08-23T05:24,U66da2ba27e83014da52f28455ef19c7c,那天,2024-08-23,22:00,,,那天，確認預約時間
2024-08-23T05:31,U66da2ba27e83014da52f28455ef19c7c,那天,,,安安,安安安安,那天，確認角色IDs
2024-08-23T05:31,U66da2ba27e83014da52f28455ef19c7c,那天,2024-08-23,21:05,,,那天，確認預約時間
2024-08-23T05:45,U66da2ba27e83014da52f28455ef19c7c,那天,,,安安,安安安安,那天，確認角色IDs
2024-08-23T05:46,U66da2ba27e83014da52f28455ef19c7c,那天,2024-08-23,21:20,,,那天，確認預約時間
2024-08-23T05:46,U66da2ba27e83014da52f28455ef19c7c,那天,2024-08-23,21:15,,,那天，確認預約時間
2024-08-23T05:51,U66da2ba27e83014da52f28455ef19c7c,那天,,,安安,安安安安,那天，確認角色IDs
2024-08-23T05:51,U66da2ba27e83014da52f28455ef19c7c,那天,2024-08-23,22:00,,,那天，確認預約時間
2024-08-23T05:54,U66da2ba27e83014da52f28455ef19c7c,那天,,,安安,安安安安,那天，確認角色IDs
2024-08-23T05:55,U66da2ba27e83014da52f28455ef19c7c,那天,,,安安,安安安安,那天，確認角色IDs
2024-08-23T05:55,U66da2ba27e83014da52f28455ef19c7c,那天,2024-08-23,22:00,,,那天，確認預約時間
2024-08-23T06:01,U66da2ba27e83014da52f28455ef19c7c,那天,,,安安,安安安安,那天，確認角色IDs
